character,old_armor,new_worn_armor,moved_to_notes
Camilla,"Armor Set, Light (Boiled) [25#, 60gp] | Armor Set, Light (Soft) [20#, 50gp]","Armor Set, Light (Boiled) [25.0#, 35.0gp]","Armor, Light (Soft)"
Honri Heminsur,"Armor Set, Light (Boiled) [25#, 60gp]","Armor Set, Light (Boiled) [25.0#, 35.0gp]",
Moise,"Armor Set, Light (Boiled) [25#, 60gp]","Armor Set, Light (Boiled) [25.0#, 35.0gp]",
Joe,"Armor Set, Light (Boiled) [25#, 60gp]","Armor Set, Light (Boiled) [25.0#, 35.0gp]",
Sir Mandolore The Desert Templar,"Cuirass, Metal [30#, 100gp] | Helmet, Full [5#, 25gp] | Shield, Medium [10#, 6gp]","Cuirass, Metal [20.0#, 60.0gp] | Helmet, Full [5.0#, 22.5gp] | Shield, Medium [10.0#, 6.0gp]","Breastplate, Metal"
Twinkles,"Shield, Small [5#, 4gp]","Shield, Small [5.0#, 4.0gp]",
Lord Thor,"Armor Set, Medium (Mail) [30#, 120gp] | Shield, Medium [10#, 6gp]","Armor Set, Medium (Mail) [30.0#, 80.0gp] | Shield, Medium [10.0#, 6.0gp]",
Iskender,"Armor Set, Light (Boiled) [25#, 60gp] | Helmet, Half Mantled [3#, 12gp] | Helmet, Full [5#, 25gp]","Armor Set, Light (Boiled) [25.0#, 35.0gp] | Helmet, Full [5.0#, 22.5gp]",Half Helm & Mantle
Theo,"Armor Set, Light (Boiled) [25#, 60gp]","Armor Set, Light (Boiled) [25.0#, 35.0gp]",
Giovanna Manroad,"Armor Set, Light (Boiled) [25#, 60gp]","Armor Set, Light (Boiled) [25.0#, 35.0gp]",
DJ,"Armor Set, Light (Boiled) [25#, 60gp]","Armor Set, Light (Boiled) [25.0#, 35.0gp]",
Sir Bret Giles Franduik,"Cuirass, Metal [30#, 100gp] | Helmet, Full [5#, 25gp] | Armor Set, Heavy (Reinforced + Plate) [40#, 150gp] | Shield, Medium [10#, 6gp]","Cuirass, Metal [20.0#, 60.0gp] | Helmet, Full [5.0#, 22.5gp] | Shield, Medium [10.0#, 6.0gp]","Breastplate, Metal"
Khao,"Armor Set, Medium (Mail) [30#, 120gp] | Shield, Medium [10#, 6gp]","Armor Set, Medium (Mail) [30.0#, 80.0gp] | Shield, Medium [10.0#, 6.0gp]",
Illian the Wizard,"Armor Set, Light (Boiled) [25#, 60gp]","Armor Set, Light (Boiled) [25.0#, 35.0gp]",
Cammi,"Armor Set, Light (Boiled) [25#, 60gp]","Armor Set, Light (Boiled) [25.0#, 35.0gp]",
