name,kind,material_class,side_required,coverage_atoms,catalog_status,book_parity_status
"Gorget, Reinforced",sectional,Reinforced,no,Neck (Front) | Neck (Back) | Upper Chest,canonical-runtime,canonical-source
"Gorget, Metal",sectional,Plate,no,Neck (Front) | Neck (Back) | Upper Chest,canonical-runtime,canonical-source
"Rerebraces, Metal",sectional,Plate,no,Upper Arm (Left) | Upper Arm (Right),canonical-runtime,canonical-source
"Vambraces, Reinforced",sectional,Reinforced,no,Elbow (Left) | Forearm (Left) | Elbow (Right) | Forearm (Right),canonical-runtime,canonical-source
"Vambraces, Metal",sectional,Plate,no,Elbow (Left) | Forearm (Left) | Elbow (Right) | Forearm (Right),canonical-runtime,canonical-source
"Gauntlets, Reinforced",sectional,Reinforced,no,Forearm (Left) | Hand (Left) | Forearm (Right) | Hand (Right),canonical-runtime,canonical-source
"Gauntlets, Mail",sectional,Mail,no,Forearm (Left) | Hand (Left) | Forearm (Right) | Hand (Right),canonical-runtime,canonical-source
"Gauntlets, Metal",sectional,Plate,no,Forearm (Left) | Hand (Left) | Forearm (Right) | Hand (Right),canonical-runtime,canonical-source
"Sleeve, Reinforced × 1",sectional,Reinforced,yes,Upper Arm | Elbow | Forearm,canonical-runtime,canonical-source
"Sleeve, Metal × 1",sectional,Plate,yes,Upper Arm | Elbow | Forearm,canonical-runtime,canonical-source
"Pauldron, Reinforced × 1",sectional,Reinforced,yes,Shoulder,canonical-runtime,canonical-source
"Pauldron, Metal × 1",sectional,Plate,yes,Shoulder,canonical-runtime,canonical-source
"Manica, Mail × 1",sectional,Mail,yes,Shoulder | Upper Arm | Elbow | Forearm,canonical-runtime,canonical-source
"Skirt, Reinforced",sectional,Reinforced,no,Abdomen | Thigh (Left) | Thigh (Right),canonical-runtime,canonical-source
"Skirt, Metal",sectional,Plate,no,Abdomen | Thigh (Left) | Thigh (Right),canonical-runtime,canonical-source
"Cuisses, Metal",sectional,Plate,no,Thigh (Left) | Thigh (Right),canonical-runtime,canonical-source
"Leggings, Boiled",sectional,Boiled,no,Thigh (Left) | Knee (Left) | Shin (Left) | Thigh (Right) | Knee (Right) | Shin (Right),canonical-runtime,canonical-source
"Leggings, Reinforced",sectional,Reinforced,no,Thigh (Left) | Knee (Left) | Shin (Left) | Thigh (Right) | Knee (Right) | Shin (Right),canonical-runtime,canonical-source
"Leggings, Metal",sectional,Plate,no,Thigh (Left) | Knee (Left) | Shin (Left) | Thigh (Right) | Knee (Right) | Shin (Right),canonical-runtime,canonical-source
"Greaves, Reinforced",sectional,Reinforced,no,Knee (Left) | Shin (Left) | Knee (Right) | Shin (Right),canonical-runtime,canonical-source
