Name,Kind,Material,Old Weight lb,New Weight lb,Delta lb,Body Parts,Traits,Assessment
"Gorget, Reinforced",sectional,Reinforced,8,3.0,-5.0,Neck + Upper Chest,Target,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Gorget, Metal",sectional,Plate,12,4.0,-8.0,Neck + Upper Chest,Fitted; Target,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Rerebraces, Metal",sectional,Plate,10,4.0,-6.0,Upper Arms,Fitted 2,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Vambraces, Reinforced",sectional,Reinforced,4,3.0,-1.0,Forearms + Elbows,,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Vambraces, Metal",sectional,Plate,6,4.0,-2.0,Forearms + Elbows,Fitted,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Gauntlets, Reinforced",sectional,Reinforced,3,2.5,-0.5,Hands + Forearms,,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Gauntlets, Mail",sectional,Mail,4,3.0,-1.0,Hands + Forearms,,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Gauntlets, Metal",sectional,Plate,5,3.0,-2.0,Hands + Forearms,Fitted 2,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Sleeve, Reinforced × 1",sectional,Reinforced,4,3.0,-1.0,Arm,,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Sleeve, Metal × 1",sectional,Plate,6,4.0,-2.0,Arm,Fitted 2,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Pauldron, Reinforced × 1",sectional,Reinforced,2,1.5,-0.5,Shoulder,Protective,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Pauldron, Metal × 1",sectional,Plate,4,2.5,-1.5,Shoulder,Protective,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Manica, Mail × 1",sectional,Mail,5,4.0,-1.0,Arm + Shoulder,Parry,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Skirt, Reinforced",sectional,Reinforced,10,8.0,-2.0,Abdomen + Thighs,,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Skirt, Metal",sectional,Plate,15,10.0,-5.0,Abdomen + Thighs,Noisy; Bulky,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Cuisses, Metal",sectional,Plate,6,6,0,Thighs,Bulky,Retained: credible within broad DXD abstraction.
"Leggings, Boiled",sectional,Boiled,10,10,0,Legs,,Retained: credible within broad DXD abstraction.
"Leggings, Reinforced",sectional,Reinforced,12,12,0,Legs,Bulky,Retained: credible within broad DXD abstraction.
"Leggings, Metal",sectional,Plate,20,14.0,-6.0,Legs,Bulky; Fitted 2,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Greaves, Reinforced",sectional,Reinforced,6,5.0,-1.0,Shins + Knees,,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Greaves, Metal",sectional,Plate,10,6.0,-4.0,Shins + Knees,,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Sollerets, Metal",sectional,Plate,10,3.5,-6.5,Feet,Noisy,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Chestplate, Metal",sectional,Plate,20,8.0,-12.0,Chest,Fitted; Rigid,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Chestplate, Reinforced",sectional,Reinforced,12,6.0,-6.0,Chest,,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Breastplate, Metal",sectional,Plate,20,10.0,-10.0,Front Torso,Fitted 2; Rigid,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Backplate, Metal",sectional,Plate,15,9.0,-6.0,Back Torso,Rigid,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Jacket, Boiled",sectional,Boiled,15,12.0,-3.0,Front Torso + Back Torso,,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Jacket, Reinforced",sectional,Reinforced,20,15.0,-5.0,Front Torso + Back Torso,Rigid,Revised: prior weight disproportionate to covered area/material or historical component anchors.
"Brigandine, Mail",sectional,Mail,25,20.0,-5.0,Front Torso + Back Torso,Fitted; Bulky; Mail; Rigid,Revised: prior weight disproportionate to covered area/material or historical component anchors.
