next.config.ts(1,31): error TS2307: Cannot find module 'next' or its corresponding type declarations.
src/app/api/character-files/[idName]/image/[filename]/route.ts(1,26): error TS2307: Cannot find module 'node:fs/promises' or its corresponding type declarations.
src/app/api/character-files/[idName]/image/[filename]/route.ts(2,18): error TS2307: Cannot find module 'node:path' or its corresponding type declarations.
src/app/api/character-files/[idName]/image/[filename]/route.ts(3,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/character-files/[idName]/image/[filename]/route.ts(5,24): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`.
src/app/api/character-files/[idName]/route.ts(1,26): error TS2307: Cannot find module 'node:fs/promises' or its corresponding type declarations.
src/app/api/character-files/[idName]/route.ts(2,18): error TS2307: Cannot find module 'node:path' or its corresponding type declarations.
src/app/api/character-files/[idName]/route.ts(3,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/character-files/[idName]/route.ts(6,24): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`.
src/app/api/character-files/route.ts(1,28): error TS2307: Cannot find module 'node:crypto' or its corresponding type declarations.
src/app/api/character-files/route.ts(2,67): error TS2307: Cannot find module 'node:fs/promises' or its corresponding type declarations.
src/app/api/character-files/route.ts(3,18): error TS2307: Cannot find module 'node:path' or its corresponding type declarations.
src/app/api/character-files/route.ts(4,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/character-files/route.ts(9,24): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`.
src/app/api/character-files/route.ts(12,139): error TS2580: Cannot find name 'Buffer'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`.
src/app/api/character-files/route.ts(18,32): error TS7006: Parameter 'name' implicitly has an 'any' type.
src/app/api/character-files/route.ts(26,57): error TS7006: Parameter 'entry' implicitly has an 'any' type.
src/app/api/character-files/route.ts(26,121): error TS7006: Parameter 'entry' implicitly has an 'any' type.
src/app/api/character-files/route.ts(26,226): error TS7006: Parameter 'a' implicitly has an 'any' type.
src/app/api/character-files/route.ts(26,229): error TS7006: Parameter 'b' implicitly has an 'any' type.
